Sample.ID,Colony,Replicate
649A,649,A
649B,649,B
649C,649,C
1226A,1226,A
1226B,1226,B
1226C,1226,C
479A,479,A
479B,479,B
479C,479,C
748A,748,A
748B,748,B
748C,748,C
95A,95,A
95B,95,B
95C,95,C
127A,127,A
127B,127,B
127C,127,C
612A,612,A
612B,612,B
612C,612,C
120A,120,A
120B,120,B
120C,120,C
677A,677,A
677B,677,B
677C,677,C
146A,146,A
146B,146,B
146C,146,C
34A,34,A
34B,34,B
34C,34,C
306A,306,A
306B,306,B
306C,306,C
1264A,1264,A
1264B,1264,B
1264C,1264,C
586A,586,A
586B,586,B
586C,586,C
684A,684,A
684B,684,B
684C,684,C
632A,632,A
632B,632,B
632C,632,C
1255A,1255,A
1255B,1255,B
1255C,1255,C
1213A,1213,A
1213B,1213,B
1213C,1213,C
1261A,1261,A
1261B,1261,B
1261C,1261,C
1212A,1212,A
1212B,1212,B
121C,1212,C
1221A,1221,A
1221B,1221,B
1221C,1221,C
322A,322,A
322B,322,B
322C,322,C
1263A,1263,A
1263B,1263,B
1263C,1263,C
1292A,1292,A
1292B,1292,B
1292C,1292,C
1222A,1222,A
1222B,1222,B
1222C,1222,C
353A,353,A
353B,353,B
353C,353,C
745A,745,A
745B,745,B
745C,745,C
823A,823,A
823B,823,B
823C,823,C
333A,333,A
333B,333,B
333C,333,C
315A,315,A
315B,315,B
315C,315,C
497A,497,A
497B,497,B
497C,497,C
211A,211,A
211B,211,B
211C,211,C
565A,565,A
565B,565,B
565C,565,C
10A,10,A
10B,10,B
10C,10,C
609A,609,A
609B,609,B
609C,609,C
576A,576,A
576B,576,B
576C,576,C
742A,742,A
742B,742,B
742C,742,C
70A,70,A
70B,70,B
70C,70,C
670A,670,A
670B,670,B
670C,670,C
620A,620,A
620B,620,B
620C,620,C
485A,485,A
485B,485,B
485C,485,C
1262A,1262,A
1262B,1262,B
1262C,1262,C
151A,151,A
151B,151,B
151C,151,C
78A,78,A
78B,78,B
78C,78,C
141A,141,A
141C,141,C
141B,141,B
160A,160,A
160B,160,B
160C,160,C
32A,32,A
32B,32,B
32C,32,C
83A,83,A
83B,83,B
83C,83,C
258A,258,A
258B,258,B
258C,258,C
556A,556,A
556B,556,B
556C,556,C
386A,386,A
386B,386,B
386C,386,C
277A,277,A
277B,277,B
277C,277,C
