sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
C31-C17d-C31.1-C31a-C21-C31f-C21ac-C31l,179488,-0.04435918462953641,-0.013784043587790219,0.004159943066289571,0.0031092853850105203,0.003117469049147783,0.0021721678308919503,-0.0016555247150110942,-0.0001488232398952006,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C17f-C31.9,179267,-0.007035818861112483,0.006941370920043986,-0.0005765017792139071,0.0026531659907884785,-0.00017558181881699724,0.0056631976917003645,-0.001138633277078245,0.0002578893639840614,-0.0,0.0,0.0,0.0,0.0
C15/C31-C17d,179750,0.08185475080427898,-0.004467162219956626,0.009153830004807717,-0.0032559338343604496,-0.002059694966758159,0.0015005576806877456,0.0005464230752577847,0.0003278142789523868,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31k-C21ac-C17e,179274,-0.012746494789795572,0.005451681734424488,-0.0017464020227326315,-0.004119084562008836,-0.004387666015229875,-0.0017332809522389973,-0.003046851817154635,-0.0007675208552571323,-0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C17e-C21ac-C17f,178571,-0.002506758280520192,0.007362865770785985,-0.012435332966505952,0.0010062962932264117,0.0027453138377753488,-0.0012742609392676477,-0.0011859233946932253,3.8317220826524885e-05,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C31.1-C21-C31a-C17e-C21ac-C31.10,179711,-0.03235382115584778,-0.005984374335747847,-0.0018027738133818405,-0.0010256050863284595,0.00041578270692945737,-0.0027173478657752303,0.0011898864489762963,0.0017153873544065513,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31a-C21ac-C31.9,179186,-0.020411658602895878,0.0029248177440663347,0.005118004618555547,0.0014113169764310037,0.003433737492709141,-0.0025798343287434045,0.0016714740904500347,-0.001171134889442387,-0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,179282,-0.004236605637762831,0.008403861364054105,-0.007448040814043988,-0.0009304060118553347,-0.002144686407696405,0.002817577576736074,0.003553724907916149,-0.00029355608088142617,-0.0,0.0,0.0,0.0,0.0
C31/C17d/C21-C31.9-C31.5-C21ac-C31a-C17f,179284,-0.01883565408583927,0.021568229952090186,0.0067539195415740605,-0.003934799395051425,0.0034754405417764807,-0.00018148398048945422,-0.00015349659603160006,0.00032925198303704155,-0.0,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C31f-C31l,179483,-0.04963963501620901,-0.019668105656453688,-0.0016015128591604507,-0.0026845855345139905,-0.0004483636334469205,0.00019238269093168969,0.001662939925213176,-0.0006117921367139261,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C21ac-C31i-C31h,179196,-0.021431578936824767,0.007263290326216123,0.004590905858359715,0.007281608057126267,-0.004648588520003531,-0.002458984282702317,0.000459593929719797,0.00013326054670394135,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C31.1-C21-C31a-C31f-C21ac-C17e,179487,-0.03851296486035349,-0.010079329318210409,-0.0011861084441172009,-0.001103332377383054,-0.000763807644141959,-0.00024576420406128386,-0.0015964069846946304,0.000310275818324745,-0.0,0.0,0.0,0.0,0.0
C3/C15,178820,0.17021542405241866,-0.005933102693522436,-0.0029799303904307337,0.0015920740989190231,0.0014406453777556516,-0.0011549269176694703,-0.00030720559287021745,-0.00011936936404586031,-0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.951228245104814,0.03232360517545769,0.009136028141893742,0.002775035504656998,0.002025110095852112,0.0015779408592823305,0.000808981275906125,0.00012505384213692651,0.0,0.0,0.0,0.0,0.0
