sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97
10B,143629,-0.20234481626490297,0.039703061079749004,-0.010820012415633587,-0.22889126834659607,-0.10729795020935214,-0.10248331672439955,-0.02639174302721818,0.05195033819429938,-0.014519086000730728,0.03655914616358401,-0.012496732533221915,-0.006601736228172577,-0.023345362907559678,-0.014088188375144129,0.0031606238859599794,-0.02146442759169481,0.02060540551962243,0.0028255170149831606,0.011767476988565078,-0.002411183180435143,0.013624966173123325,0.0035368868462698944,0.015662882750458358,0.014202123234033161,-0.0007073469008092257,-0.0009686448638063282,-0.014089231687337403,0.011408167880735924,0.0041947173667537686,0.00763346831274513,0.008765343688428781,-0.005716971150394658,0.0005097903472755356,-0.0035282514716310468,0.0016378957573349698,-0.0019219459919841153,0.0039466280493631505,-0.0022180809936886586,-0.007130059832045579,0.0010388515134058978,-0.0032198658086997076,0.006894064129559207,0.002404779465523602,-0.0027535687954850854,-0.0003664765828887539,-0.00013831288937215993,0.0026282834189860545,0.0006685127405003232,0.0002323223756680429,-0.00027708648903079775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10C,143630,-0.17782426422586803,0.048063134760186886,-0.00924355066164163,-0.18476574876678725,-0.11397537297887611,-0.08819327749589921,-0.04870153068690293,0.036521956864961694,-0.021975883690015862,0.013503458249232296,-0.04001401350304032,-0.01904756320875772,0.01571114064178533,0.036023502027964546,-0.001979715410673465,0.007081936535529163,-0.042666818125272225,-0.0006962856844573134,-0.00850688210002271,0.0010205803492830045,0.002266419226464757,0.007223992247265215,-0.02332556239216135,-0.01764170230132855,0.003221970788115816,-0.007668172542265346,0.016393418881736753,-0.014699312441117088,-0.004871614779032032,-0.009367290678468063,-0.008785494268820946,0.008554343105370333,0.0001237772904852121,-0.003398168534515594,0.004565082557768881,-0.007283328236937021,-0.0018206957406668358,-0.0047080169618766345,0.010280788770868585,-0.0003444947387902903,7.85234924118696e-06,-0.007019200183233572,-0.0004158199662784926,0.0014169624619275567,0.0020975987426876935,-0.0015694650266633464,-0.002029549391700228,0.0003811709862186195,-0.0002644670388786741,0.0006914973306784393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213A,143636,0.17870149098658208,-0.012162772902348353,0.03114211912827412,0.008186098660804499,-0.023403893362093444,-0.04249964803370744,0.006340511222799732,0.021723992166211535,-0.018577951747816623,-0.031558640948150134,0.03055357564537704,-0.008151031170187563,0.025584062955812607,0.014771465393772063,-0.02112875194637509,-0.0014187669509930364,-0.015191397749785554,-0.01042217714278926,0.005383436581853293,-0.002678094031509858,-0.014062574103688321,-0.019181982696694574,0.005852952547377052,-0.009175216731980311,-0.012072416519150262,0.016065773022895052,-0.0048685677915984524,0.010192677050813588,0.008683132492435358,-0.0007047693392769743,-0.002686072629086509,-0.01655265884629575,-0.0103057467713323,0.011940904635379486,0.015481004707113711,-0.00034056755119056515,0.0037694070776334286,0.0016389340152230445,0.002040183866275411,0.005404504738610869,-0.012337111926987443,-0.006547559359314269,0.004840333801501277,0.0008610070276263968,0.003087380141829923,-0.010315628713129256,-0.0014172789278463329,-0.0011766213199967985,-0.0015604692513729987,0.0016017561679670868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213B,143637,0.16136308749751468,-0.016748751221086947,0.02638629085570204,0.01371359987000883,-0.04015417621694459,-0.06007975499452451,-0.004593470996434934,0.02279928840864079,-0.008033771139159759,-0.017209047097123273,0.027045603555090798,-0.01124222216876216,0.01751806846097587,-0.006138594786527971,-0.010207700309094696,-0.0056221295023009266,-0.0020021657502032808,0.010629587997313127,0.015736970332616167,0.00929597102100842,0.005841168115347189,-0.01605144246236377,-0.005524619042251268,-0.011792609740201559,0.010937851885328935,0.0010024982243609334,0.008006215030636532,-0.008923813054559738,0.005538590982898108,0.00473187859025269,-0.009791920722663439,0.003642706327636143,-0.008649028099937695,0.007171495503947757,-0.011704532464958062,0.005681559027378465,-0.005633969374886955,0.00407720572409021,-0.009858115945565122,-0.007559422742091805,0.002861428683499359,-0.0011133813983742206,-0.003186899443956236,-0.0077329496103951175,-0.0022271420424254044,0.012064486658642801,-0.006898159071542992,0.0028436801279050614,-0.0003272129597213445,-0.0012115142333776773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213C,143638,0.15600707290629412,-0.013492416928870533,0.03224569264635894,0.025083163821879938,-0.015104648205342797,-0.06258756140745919,0.005935599900377653,0.038541746259841324,0.011510506882179588,-0.007776418462154571,-0.01153822389982164,0.0053357742072478115,-0.014971017188059965,0.02200623477966349,-0.03336169900487941,0.03528729277211991,-0.010554033839362787,-0.0162190803983015,-0.007669645868118752,0.0069979913320265185,-0.017032908925471702,0.005530854554001235,-0.005926913429149157,0.0060735786209622925,0.008626932337778927,0.0016983487720414838,0.02647713625158512,-0.011972904072313393,-0.011052400116250471,0.007965973524187143,0.006289651069000586,-0.009154350270083019,0.010753673889017447,0.0099714773720232,0.007629563334255195,0.01516544950082967,-0.003992594424796866,-0.001042203271972772,-0.008109809092685898,0.0011224643281472523,0.009900279043112324,0.0003631782452773567,-0.002049563173923245,0.0019304397169546714,-0.0012608863957223073,0.0009564029955505707,0.0034577121582276397,4.019297852358715e-05,0.0002570066034301186,-0.0019837847854563603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121C,143639,-0.09419699820875585,-0.01901841634327154,-0.016456685697124662,0.0599372829126491,0.09541554229763516,-0.13857107290454887,-0.008143100312935992,-0.004943718262554865,0.014479593464775137,-0.032208739082854355,0.005615358019890084,0.029545633190285664,0.07713777722189002,-0.028391628283360674,-0.009776241623157761,-0.03457456284201923,-0.0015541734400086869,0.01410964840180245,0.00795277772759877,0.003982365436590927,0.007797789787532553,0.017313969251038123,-0.009785270977992014,0.0017084899582451248,-0.011764172383534001,-0.004758954628301412,-0.01075119887107588,-0.009005161705840335,-0.009793282158054233,-0.0046462520146804695,0.000594749103352374,0.005228602008025212,0.0028620182143328787,0.001490105647330978,-0.003171833084762196,-0.0001821892237142475,-0.001060801470312898,0.004894792247363685,-0.0005029324781403874,-0.0003902527341197514,-0.0006604229384736659,0.004105464357250636,0.006243015553517033,-0.0008115421041393681,0.0037859476014450253,-0.003971373039973529,0.0008855877909992433,3.2187080253077398e-06,0.0014172202994826015,0.00017860234933256703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221A,143640,0.08682387942926892,0.00427584929432465,0.08870879862179057,0.0528633194778958,-0.09580405273948049,-0.04129275573198656,0.005554917953734587,-0.03730100455689621,-0.0004436550663980269,-0.03427906995824317,-0.013074083836368357,-0.024455237839856925,-0.00159081099349701,-0.028107914532383996,-0.014099653194787396,-0.005174811860150512,-0.01533574022144487,0.005088153305957916,0.009844847639629548,0.016626511533531913,-0.0017149761942170793,0.006425012832482287,0.01502288338925178,-0.01075971987569501,0.007292181642799432,-0.0010002944989844676,-0.001434477600353961,0.00335316031740265,0.006285370303969788,0.006788277452903475,0.0017812441668319107,0.001434698819544149,-0.0041589932254002746,0.0035421244428260634,0.0055195566297868625,-0.015124476956789918,-0.003592732499319675,0.008253273811455627,-0.003168661825524489,-0.016441978720855382,-0.0008926476124195513,0.0007281749433743563,-0.010431972556571257,0.0014525300278415206,0.004289764112190952,-0.0035904242845749695,0.0025684703059504826,0.0031691210421979205,-0.0008266457158400955,9.651450877055286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221B,143641,0.08799496002122871,0.0075590105940483415,0.09649499818795836,0.05822039659121366,-0.09771015295471433,-0.0345163628342372,0.014362404679560613,-0.056466580976394655,-0.002190856775173075,-0.016562221398490996,-0.016670699909292975,-0.025384384220390292,-0.0222882445452069,-0.02025904934813469,-0.007145403996233381,0.006640550111900481,0.001927317457594954,-0.011706137018579622,-0.008202921297158211,0.004570217348072575,-0.005961456470385438,-0.0037602172399636064,0.004506969608587736,0.00997584788602691,9.91411034433303e-05,0.004060015407877106,-0.001730094215248028,-0.00833443471073228,0.012356176223470636,-0.004933339889777708,0.0020983472176476616,0.010160472531583418,-0.002856640393726485,-0.002429055554104436,-0.009835800253301477,0.010389557444726943,-0.0001109102222570814,-0.005897109417983874,0.003885278926809585,0.007523672147410379,-0.004502456506211143,0.004254796805647037,0.008622129969436492,-0.00575935345933873,-0.0076125450394018395,0.002546235411168351,-0.0018538604784629662,-0.001974748616333712,-0.000464057800728499,-0.0014740053549872777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221C,143642,0.10021796938588594,-0.0028988774571690095,0.07467588286508707,0.05285355104951497,-0.07360998694873014,-0.04269124272743375,-0.0035449384437290297,-0.03268874449942679,0.0026570120410946267,-0.04371373811650792,-0.011774970186285007,0.0008959439480492003,-0.020659535605896163,-0.0017325655690584704,-0.007742978565062813,-0.0126606090483193,0.005552555522811877,0.025555934384169858,0.013186481090043804,-0.010191567736347369,-0.012006989619273758,-0.0004094120633054142,0.009767195049012955,0.005944389714817403,0.006757721256502642,-0.01979445818905542,0.00984844158666021,-0.00386476637636445,-0.010677163213577336,-0.007646548824218393,-0.00017150302387556576,-0.0159695302821496,0.006333873558584777,-0.001762948583744575,-8.293730042403584e-06,0.0021399903397843318,0.009315901272935686,-0.007733422021220228,0.010403012383182832,0.002542916334982762,0.00434625319007941,-0.006465566155927033,0.0016572437526464897,0.0031548232281659997,0.005520649640731608,-0.001932156604564155,-0.0022217810229383825,-0.0026061721182017647,0.0026725813514859665,0.0030446728884691928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255B,143650,0.3295636660446907,0.031861272457214034,0.011660297052800023,0.0670062021830685,0.029449266459463407,-0.03815706496243635,0.055670429963178794,-0.039812388683387184,0.015620898701173955,0.05109487168104283,-0.009475524947482194,-0.008229897958050781,-0.004355103071718947,0.021807930238953537,0.002142689271609541,-0.04023149564315082,0.0030420785261711268,-0.0031913995914837137,0.015634823160600518,0.008371456489887004,0.015366405244305428,-0.0030816078327983074,-0.0020241272536519173,-0.006945687962850825,0.0014402533795239343,-0.003990432438474937,0.01840702902500597,0.0011118158527972466,0.011984286504198423,0.010085529191720542,0.0029024584332186347,0.017148291144628812,0.001294315881086066,0.006271305964566715,0.0048470560705779426,0.010692165202888307,-0.0028010084405132862,0.0019740963562523465,-0.0005862523142560408,-0.004122446251914396,-0.009075088410284564,0.005433102212301439,-0.0008514213523814014,-7.672992072718088e-05,-0.0007666218368692946,-0.0016319080673968171,0.0025655028969950857,-0.0016559774754205377,1.7378610994921875e-05,0.0019201358181123445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
