sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97
10B,143629,-0.12275864156117866,-0.13914753662782148,0.06601655912505953,-0.09148868747561875,0.17497687864840933,0.019427011151335997,-0.09319013755558081,0.08099450819114988,0.03639554516529277,0.07510494923373634,-0.023542738840316182,-0.0290555502465968,0.04742830637333194,-0.06260006294896206,0.000297473993905071,0.019030119754482565,0.013293277925061108,0.02090267599621872,0.041209899417643955,0.010891065957134795,-0.008638844544816237,0.009658136795161249,-0.007867657234639388,0.041064117625354696,0.0334383124613274,0.012336638884263814,0.00024781398730805746,0.012673931650731355,0.009090842339820649,-0.021139006362661066,0.003702771172864696,-0.00857273202014059,-0.002720039814123508,-0.00550740645877916,0.004941069798113736,-0.005523602204978449,0.002296514562169544,-0.007280859175545031,-0.006923973583317444,0.003136934429036489,8.619899849264659e-05,0.0010977787072725036,-0.0025996356327483107,-0.001610031826100686,0.0014002765066333063,-0.0018820469027575806,0.00033506925102401105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10C,143630,-0.09947020953273443,-0.10203187655439214,0.03836875468284171,-0.13198303715265894,0.173395263660849,-0.013425959829034509,-0.03421856435987174,0.07072064285435298,-0.02559767620108067,0.1410534909518285,0.005845382688714454,-0.03931742034722391,0.055465337792243705,-0.016623279650253196,0.00015562976655313253,-0.0067099450214253295,0.00979622999716003,-0.048159750797726976,-0.008530576171410117,-0.03925342563807111,0.02326600227885771,-0.003696808700935859,0.03297483942358408,-0.014384807960765467,-0.020022899897024934,0.01536749724145402,-0.010963556567769615,-0.004275637989970383,-0.007352298387812757,-0.008086896858760585,0.009198569100871128,0.01472282306831176,-0.004429961911914144,0.0032163666302845607,-2.7078073145465688e-05,0.00028591419508732137,0.005414471725554808,0.006867895555431222,-0.002254078015619954,-0.004177266265137387,0.0038073315467661516,-0.001655758578887096,0.003910165694054637,0.0007330418776500436,-0.000809283987761117,0.0013059001268479248,-0.0005563998111370897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213A,143636,0.20817672019663785,-0.0038825795927317406,-0.02938298900237984,-0.018296293917876263,0.012469231913391473,0.02100231336068721,0.02066836911730984,0.004485219139258715,-0.08010408200582762,0.023498386588536365,-0.034451481233897234,-0.04494532733987982,-0.037852367235832476,-0.00792408040497887,0.01672371951526994,-0.016455627233656445,0.009072313467393811,-0.004501691936541314,-0.032663030350823206,-0.039300605035945575,0.034861210298555136,0.026295701464408797,-0.018419211373358887,0.0027185972928333545,0.0091005635179628,-0.0063905144162218425,0.0006135088047043469,0.0006949336244322889,-0.018683820144082815,-0.01979915173044195,-0.0002977127213343642,0.00413194395300196,-0.0009048536522170827,-0.013531785760993457,0.009833913265755573,0.0036530370989110903,0.004537157334267887,-0.00942769898528152,0.005274139988875122,-0.010494787048826879,-0.0047623395696402195,-0.004929803555577354,-0.012168266466147196,0.0018177324334240428,0.006577503221590824,0.0017047850581984746,-0.0006674163428093429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213B,143637,0.23419862757832224,-0.04412329508117471,-0.0011712408700376212,0.01763964101206792,-0.020437185187552394,0.05854241764870892,-0.001546563900565365,0.03514500887779566,-0.04543518184608797,-0.007916916369218801,-0.03961788306956041,-0.027420823906512366,-0.023901159710849166,-0.008058727930482464,0.018916441627822824,0.004941944819598747,0.02708886310007898,0.0017376272876969648,0.0035641888640245314,-0.013776372122487337,-0.00863278482528642,-0.005916118300364033,-0.006969387241019248,-0.008413341216994889,-0.027325544100928814,0.004364627370023247,0.024588044031208938,-0.026786000864264314,0.00011659167800116085,0.004980758556996377,0.017195925889487377,-0.011718471840914539,-0.004795286154516101,-0.0037945562130071013,-0.01890605973981895,0.0007473311041914675,-0.007328422297991864,-0.0043955621031001755,-0.003463484628090844,-0.006617307575701324,0.0007486880699401192,-0.0026171286070945546,-0.0015771633498672152,0.0017711700862492973,0.002351211206199478,-0.007650878863711726,0.0020791789930296204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213C,143638,0.19122006649319548,-0.06212682390311088,-0.002962932338575409,0.018305655229100173,-0.035216369908314483,-0.018492489374469692,-0.08099674022535774,0.011603945955898231,-0.033561494403308044,0.0015818998588304006,0.007016528498592778,-0.022901480833557055,-0.01064675260905075,0.008189346811072203,0.06586941156554674,-0.016899545838145843,-0.0015869230010215414,-0.023738185067271083,-0.018280339552339712,-0.02239185101044699,-0.0018300740988679326,-0.026817917564914934,-0.017041577256461365,-0.003026899934187817,-0.011301063963825372,-0.006490887989044059,0.004672557627052261,-0.03606774480241022,0.015517858156179178,0.03552539607953625,0.009437249950106738,0.0049437136791552795,-0.01776895713835619,-0.009810711629358987,0.0015974330117913996,-0.00865735698311927,0.011934403793436358,0.004771198318872127,-0.00518329474497373,0.02078857617518832,-0.008152514043267852,0.0060554809939317175,-0.0009072304005788532,0.005534854347051971,0.0008359134404834694,0.0018830135457550319,-0.0013217770167683045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121C,143639,-0.09778039058674562,-0.16110331286254997,0.2076763408231597,0.2509067152342106,-0.011712289293513364,0.06432149524844731,0.04740157603146137,-0.007027728778272686,0.02662765223259134,0.14119123510302786,-0.003998180229934213,0.0031636362585754766,-0.026220744017716204,-0.011578835126254055,-0.01015942462615913,0.03900370076560087,-0.04751312772362182,0.04730955809177294,0.01950553834460415,-0.04083264950204036,0.0035271055556726568,0.0029095862469809613,0.010244659995310743,0.011431063347306272,-0.009781236274504435,0.0019919696358616057,0.009690388072283767,-0.0012652351856105152,-0.0032386074728391217,0.021451127139175435,0.0026193840972037865,-0.005991758795581879,0.005677276505894936,-0.0004708878326180425,0.002772158570829527,0.0013063623688042056,0.0012727768880695847,0.005043230083488742,-0.0005087901233161995,-0.004862710135695577,-0.0016415754797087284,0.0017797449863989822,0.005392346007081424,0.0019629859795447556,0.0024475444325945776,0.0009374858025081444,-6.714450425653737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221A,143640,0.19652075691230095,-0.051423846881177605,-0.027431076363718776,-0.028123222330738114,-0.04930056421137234,0.08591065039867557,-0.01483681457085289,-0.011991384155393654,-0.03432100191364946,0.0009008224757141562,-0.0264076506991811,-0.028969355772038827,-0.041558002628683706,0.024219605941470355,-0.035920276379450854,-0.030058697781821433,0.014843507652726386,-0.001312517372834936,0.008048209660095888,-0.002224954944813472,0.03522080729855522,-0.0069414088116792234,0.02243215605372942,-0.0006117943635196754,0.007035479878176765,0.003523225986784136,0.016261490849374022,0.009102217071699756,-0.011544707341139873,-0.005778077259927547,0.009829554348649195,-0.008486323703129068,-0.012606140658077594,0.015517527172022254,0.01175418703077905,-0.0038351401288180464,0.00956733553744429,0.005876550102605319,0.011195605117165674,-0.00823877363389262,0.006446480729172024,0.012999175757643922,0.009127819259833235,0.0006863810402424522,-0.004243512224875454,-0.0035149460005776947,0.000744507873489498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221B,143641,0.1934034678774948,-0.052353980322774156,-0.03006224901896497,-0.029100088838334752,-0.05230804710073182,0.09089893789985835,-0.017668250982101927,0.017878776953317882,-0.03679760784414899,-0.026203459677102418,-0.0029310785899122746,-0.01944460019525577,0.0025138750264887245,0.01413506923257624,-0.015321545088961618,-0.017307953735885038,0.015412404479933712,0.0038372310073791927,0.013762181871893939,0.011552378070039728,-0.007384866308043948,-0.017284525253369223,-0.005696140007951814,0.009400518949821841,0.003998513894750302,0.01133665820167162,-0.0025744567374759585,0.004836295702932311,0.00915004929988607,-0.0066678996807513205,-0.027427847026395447,0.006221707738433243,0.004848806852409707,-0.0038465879676290765,0.007573251742015739,0.01692656304326512,0.004513220212626065,0.017203141292721928,-0.0006039862048190826,0.01000078406526241,-0.01150223514080019,-0.01162697747623365,0.011969332623523038,-0.011261679652916811,-0.0019821710338432793,0.0004722284730408437,-0.0012826055008514812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221C,143642,0.19994417977778808,-0.055522666679969,-0.024682498421989964,-0.019797844946319382,-0.04918201277517234,0.09148754608587947,-0.03217775427105168,-0.019510017814901512,-0.007867301448873936,-0.016257240843308256,-0.04021513896145883,0.0007884748178236494,-0.021886164846493326,-0.0009525294236257429,-0.03604861002466256,-0.004369730890095978,0.03820703490231134,0.006091751828259587,0.00015657023873140658,-0.0047690675698962275,-0.028118780120129958,0.002437237338777818,-0.012115423272034492,0.029094563300204396,0.013450256726359905,-0.0070581678561443114,-0.012232560067031472,-0.005146162004624976,-0.0011741076567070722,0.01567300039089473,-0.0003447341892993265,0.008554426188004397,0.0014647004311331973,0.014118508587475667,-0.00014163780970184722,1.744002170260978e-05,0.010885344201907805,0.005138086229436701,-0.012070644383325196,0.0018516538142906076,0.00820162184043958,0.004173356828813141,-0.015233452318713562,0.005562475189695743,0.0032186896316969307,0.004229164346272623,0.00012033289249394542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255B,143650,0.33469983249563917,0.05716630859951125,0.07431271989998782,0.12987491568358156,-0.09524354607332439,0.00616532267552569,-0.0022558458081165895,0.010535721897330394,0.03141091722901154,0.0005351791313815489,0.015472634116824034,-0.04856981740933848,-0.0030250650585568156,-0.009098305626796983,-0.019347684471124928,-0.0038556236640817565,-0.03713087677937353,0.007447695659397069,-0.013953601071399474,-0.02947122472297063,-0.0038279811248063925,-0.004131911904096865,-0.0015826404584809621,-0.011672577926843305,0.012230505630736835,0.03404326150472039,-0.013016511677239134,0.011707558260718082,0.03556808596084429,0.00020677242091123399,-0.035533899504704904,-0.012331032199391308,-0.007981925938025207,0.00738860647548663,0.010754136324871925,-0.0014308158870537382,-0.010044536605303713,0.0022678003593384496,-0.0044765510064718,-0.0026520275770609255,-0.012009519323982155,0.010392987196791843,-0.006185146651406979,0.002692027769592968,-0.003927006690398297,-0.0007155864565650284,0.001134646764551316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
