sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97
121C,143639,-0.005065662535275821,0.0023466317186173376,-0.014058031559921438,0.0012253059371733661,0.02406914393101462,-0.0028975639507498093,0.0009834436200310513,-0.0004949215731562472,-0.008206063639390615,-0.001621678762737132,0.0009223022487133725,0.0011326187860293943,0.00108135815858704,0.0014718407239679395,0.001670397812744095,0.0010936808401405737,0.000238321243934235,0.0013728605489782412,-0.0006611057525230763,-0.00037411908861108013,0.000702384086237413,0.000286819014751924,-0.00042549497854453474,-0.0003534302600516607,9.076284216229733e-05,0.0006299039508393709,-0.00016972242292262815,-0.00029093065220715347,0.00035033047625014543,0.00030093058624845574,0.0001018242014040882,0.00022098956752943417,-0.00015976381449418284,-0.00015660124424842837,5.489891284651169e-05,2.5854973742962493e-05,-7.351806202296016e-05,-4.1165941968217074e-05,5.851661019446179e-05,0.00022595445705037408,0.00013364688871651348,-2.3043165901770856e-05,1.234083273069444e-06,1.5614835924172083e-05,4.350374575902436e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255B,143650,-0.05423083724587558,0.015536884714394834,-0.00445047877288754,-0.008624859081942549,0.0011179500703393614,-0.004933070521312316,0.003298704891278598,0.004736386460611956,0.0017875026753752866,0.007385418048377763,-0.001353289072313948,0.006183340455763889,-0.005351297789351508,-0.0003137491109975818,-0.00039238656609466674,-0.0017137903193875106,-0.000860365705737972,-0.0016838898190308185,0.0010526679409614463,0.0007437704552797539,0.0010522781790457964,-0.0019176284369216015,-0.00043104753621538437,-0.0022011424015878464,-0.00031582788996714015,0.000129490616944274,0.00053047254872903,0.00012471636631429991,-0.002158682066060941,-0.0006456463741237587,0.00020594174623017792,-0.00014559145256766223,-0.00045437980874441875,0.0003032088243250444,-1.3426687925148273e-05,6.621635022574156e-05,-0.0006241071002574128,0.00038452613894465894,0.00011015264236717181,1.6538526124664197e-05,-0.0003072099892514085,4.939050055454836e-05,-3.449464008210584e-05,-8.273552915874295e-05,6.07318093171433e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261A,143652,0.03164212608451327,-0.008129496204409682,0.007990742723559045,-0.006477805850613398,-0.0007812940686600089,0.0050733082264924866,-0.000359622152860456,5.262424147196501e-05,-0.0009379658467044118,0.0025518492304522113,-7.151942245327801e-05,0.002064222772198542,0.0028807380916107982,-8.658544507206979e-05,-0.0009175768038780896,-0.0010547469842292097,-0.000755380298946637,0.003833584346792834,-0.0030298546231646898,0.0019951231505722245,0.001316407725241391,-0.0007781646176602426,-0.0006475112588147776,0.0011706436458865873,-0.0002534931419526509,-0.000259403387268676,0.0009090872716821535,-9.010722914033096e-05,-0.0008600045128134398,0.0010360724211494836,8.250701698028206e-05,-0.0009477299577292982,0.00036665874558343,0.0012455058639492947,-0.0004921105638773933,-0.0002682862398174096,-0.0005177387659306271,0.0003901346932397662,0.00029414206388905686,-0.00045228941626701644,6.629705596936201e-06,0.00032830668913629696,-9.871467327389514e-05,4.291940345864054e-05,1.8376446911688044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261B,143653,0.028526510153474346,-0.0035487075110221533,0.002279595146469748,-0.006931385810792398,-0.003021809697040391,-0.0010814005264729151,-0.0004952871747469315,0.003013347498903148,-0.0006599963738343107,-0.0012102423112166482,-0.0003904094739213411,8.96588057535336e-06,0.0022779064253920524,0.001867985370667957,0.0017170407657162122,0.00029743978576067114,-0.00019891455481739535,-8.147046216601853e-05,0.0014231419716591288,0.003534716345852644,0.0007838010502415395,0.0007121784189698125,-0.0003867394176997788,-0.00020891639001807845,0.0007276637958133536,0.000687775459020031,-0.0003503015606907458,0.0003832559229910841,0.0006366743811607802,0.00033568879807962105,0.00016090753407567985,-0.0009338101503149911,-0.000635298555921375,-0.0008097364354206425,0.0009011474774327672,0.0005792660197336847,0.00028663644056131003,-0.0008085997650844035,9.597632085086227e-06,-0.0008898745771992028,-0.00045710632984072893,-0.0001097764244650997,0.0003277841320371734,0.00012805647401934193,5.10008298511243e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261C,143654,0.024774953697037406,-0.002185295226513655,-0.0003339801959455563,-0.007847006029280377,-0.001425010098185577,0.0009735109266424721,0.0017164255113310575,0.0014109931209529696,-0.0021109617511678256,0.0015470098015428603,0.0013326716999284228,-0.004097847046247113,-0.0008686018032908824,-0.0006321824791003177,0.0002914000916877448,0.0003489081137538691,0.0020658170908587075,-0.0017507680264347957,0.0025450131024756547,0.0011331019244773218,0.002242307959200342,0.0005271066197692987,-0.002368287347046835,0.0021976651597526153,-0.0003115307961427521,-0.000992609114524296,-0.0018861806574526788,-0.0005472725997819623,0.00073806684022921,-0.0008470711723205895,0.00018970578298846787,0.0008653141041515515,-0.00021706320038707838,0.0009585818479259685,0.0006019349329651475,-0.0010211286816775213,-0.0003501800962081143,0.0004343549474079638,-0.00012090279270692003,0.0011305529750469802,-0.0003565215832123022,-1.4807846830488064e-05,2.2162707663902276e-05,-3.426597354279825e-05,3.270411484098173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262A,143655,0.017865662825340564,-0.0008811049122673145,-0.0038601086654131006,-0.00801745352207001,-0.0005081852654065126,-0.0006097193054340286,-0.0008307591600745885,-0.002500406248154217,0.0009098360584598821,-0.0004601703622074134,-0.00015541138361977206,-0.0001488153727984759,0.0011726971812056355,-0.0006012271080863312,-0.0011017452197074928,-0.0004946881299151955,0.0004755083970277434,-0.00034365906207393395,-0.0013822753352269945,5.2514253460113384e-05,-0.0008907476558666625,0.000824721024491401,0.0018195834606434568,0.0006255280443311915,-0.0013121498918768693,-0.00022929649024322544,0.0004685173412556814,-0.00038342393443432693,-0.0005821377524138078,0.0008508423207283071,-0.00047746436635341183,0.0015315782545052986,0.001212450604666835,-0.000529319115418211,0.0004680066971444903,-0.000329000219161231,-0.00016332606568396336,-0.0002729507851823206,-0.0013389595297524724,1.117370849329819e-05,-0.0006087579731717817,0.00042188884206059636,-0.000256495913307696,0.00014708616323313927,-7.816113554841953e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262B,143656,0.018336699338124294,-0.003299666837812507,-0.00326538262739856,-0.006937345265381762,-0.0006548373911047274,-0.0006992251750091234,0.0005977565447536006,-0.0018149990656546446,-0.0005765875193212613,-0.0003838559910842537,0.002740911692000803,-0.0027720191928029443,1.801067892916407e-06,-0.002742995102833337,-0.0023786431259921726,-0.0008002004745264174,0.00013582513898477164,-0.0015901681887780488,-0.0009653013234595629,-0.0005350656414982652,0.0012539007508404138,0.0002066936975965461,-0.0006948113874003533,-0.0006652173859183345,0.0003709890630893147,0.0011550794734591933,-0.0007655981793128724,-0.000933614644120103,-0.0006445976615681911,0.002088419929968258,0.0001623357206374536,0.0008931859922917696,-0.0005352289313473955,-0.0005352307784840121,-0.0009149139902595181,-0.00045727186326182203,-0.00018774418378552897,-0.0004597718819795883,0.0005754767524697337,-7.18221728718546e-05,0.00062019627027369,-0.00021768661221562325,-0.0002033177421747467,-0.00015563549010008364,-0.00013538211969678967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262C,143657,0.021350447704392237,-0.008672952518055884,0.0007484057458506192,-0.006646561359774055,0.0021243592075141896,0.0043091737517896925,0.0004007596919740276,-0.00322204026883062,0.0021723626082058066,0.0024268271758010234,0.00030695284893749873,-0.0007750279770683881,-0.0013077518357658372,-0.004396844822576828,-0.0008642281246033019,0.002207350063903929,0.0016151818550161979,0.001456744837112373,0.0006642572711924162,-0.001861272688612683,0.0002444221443319765,-0.0005605796992027367,-0.0012207662076724809,0.0008173882601125778,-0.0004972612003565123,-2.3634610505531353e-05,-8.55349850178209e-06,0.0012212705458400717,-0.0008909447991312011,0.0008606047374054181,-0.0007104744742407945,-0.0006619479096337217,0.0007981296875507199,-0.00015228527977706585,-0.0006578450608536595,-0.0002986656283822022,-0.001488475197513914,-0.00036306227669858433,0.00045375886041981413,0.000302508618431766,-0.0002696645106438399,-0.0002432158241839765,0.00012756265923004816,-0.0003264150492093163,6.4758462562769e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1263C,143660,0.03162643171815225,-0.00860406149824,0.007472133403580614,-0.0068764717832682405,0.0005133983561935885,0.0057796249315336555,-0.0016223007790897152,-0.0009934149941596957,-0.0006188899896231992,0.0027733362650235486,-0.0007138175916115092,0.001318809352618992,0.003038992442773027,0.0008774631017329381,0.0010350932577047332,-0.0023345677704062983,-0.00021667091027462445,0.001318794722037644,0.0008283850749333258,-0.0027737450841736062,-0.001585792587078411,2.005959250925078e-06,-0.001208357901429467,0.00019958290962712147,0.0014927644517297553,-0.0008792453162198922,-0.0006743652226604755,-2.1590934904897092e-06,-0.000558039006194405,-0.0008052507074641935,0.00025264467961431513,9.319481336336322e-05,-0.00010071336965922876,-0.001427742997729095,9.268692758120023e-05,-0.0005001339231058963,1.4898868725413898e-05,-0.000422948778082794,0.00037663908060569373,0.000639850385555354,-0.00048368644936005035,3.908770056182604e-05,0.0005000738745548225,0.0005786179368968576,1.0709205608249824e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1264A,143661,0.02321100451300465,-0.0018931424905877159,-0.0004495214926677309,-0.004242262405704158,0.0005235440419381778,0.0004506477462872592,-0.0020705279670419174,0.001385397583090232,0.0018827565770457506,-6.546411546119685e-05,-0.0006695803936847351,-0.0007146296252113917,0.00010049466897020527,0.0005165934921747264,0.002322213355031701,-6.389501467419293e-05,0.002120256138949751,-0.00026812073071818214,0.0019434497455167777,-0.0010530797296721902,-0.0008664798636766627,-0.00026069890279392834,0.0001272950381415695,0.0008125000585003463,0.0005369789471531394,-6.23378894970188e-06,-2.404210491443458e-05,-0.0011198854665819512,0.0009406494332691407,0.0005854687556202701,0.000272929058652239,-0.0016379254668865638,0.00044613818842673104,-0.00013853524299862905,0.0003037815307275597,-0.00041236704568930056,-0.00021655392301832925,0.0008770097009628917,-0.0002239423271344222,-0.001021117391570504,3.05495582550864e-05,-0.00019038460162744137,-0.0008526806605419149,-8.246383791463682e-06,-2.761928972332153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
