sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97
121C,143639,-0.01140549142912453,-0.004260611063486679,0.010369571132866668,0.0019867430870018333,0.036163104422998145,-0.01239675198927242,-0.009088241295196024,-0.00494732100726374,-0.006090146300695638,0.0018802587943037928,-0.0074187249159054225,0.0022591709567675953,0.003333063628196589,-0.0011829937575302532,-0.003849222041793404,0.006044156132859469,-0.0003876866814613001,-0.0011308252039644209,-0.005331315967662515,0.002909800408016178,-0.0004975087759393045,0.0005150574449611045,0.0007170843183078832,0.00044789850703320846,-0.001037488157927762,0.0003985514833418981,-0.0002001817472330057,0.00010959813999176235,-0.00033396333030858626,-2.8326576720235583e-05,-0.0001948441737008172,-0.00039571414775517016,-0.0002168865267133599,0.0003479270041237373,-0.00014255548892232132,0.00010173743691372436,4.350309045682482e-05,7.394892039484414e-05,-0.00012874276871795878,-1.32000799365515e-05,0.00017664333645784754,-0.00011741005104538737,2.3569977340613578e-05,0.00012132990089331202,2.299170757709063e-05,-9.880673170037393e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255B,143650,-0.07467280243499001,-0.01808987568250837,0.0022724896707907068,-0.010233505390851527,0.003248945067561853,-0.005161837476168235,0.01011514666449775,0.0008954573116005297,0.006244142670571636,-0.013002346168309814,0.003401957078664255,0.0008534818854375266,-0.005449301305621309,0.0038534269803480264,0.0073269955447686115,-0.005950030490178414,-0.0005764129303193991,0.0023653308118858616,-0.004810229023869195,0.0019146806384148717,-0.0017645550898384098,-0.0011503900558828774,-0.0014177056646404373,-0.00030268995567089656,0.00022402974156928283,-5.350458573503351e-05,-0.0008556583549660698,-0.001928284350253581,0.0011500350899732042,0.00011635252105164389,-0.00027751940688513,-2.0974792676403716e-05,-0.00013095151109897998,0.0005002489396994289,-0.0005815239761108909,0.0008876392420018304,0.0004161813589870824,0.000719220724775729,0.00016273685907672184,7.901764528820378e-06,0.00022400035439970015,4.053874345153788e-05,2.7558501010557334e-05,-0.00016792425194748784,8.462295129603422e-05,1.682279784227821e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261A,143652,0.03793475341825717,0.015317089122242987,-0.014458097087523814,-0.0014405068212481448,-0.003912912486791011,-0.008742754906801558,0.0026137280275017093,0.005463413634888438,-0.0030222976468316665,0.0031081255880208228,0.0006301384774824267,-0.001294087864758825,0.0004733507659772701,0.00042877110852752496,0.00040892587443321435,-0.0013502353603066562,-0.000583914738835674,0.004775378168361746,-0.0008169086287756461,-0.003157008772462093,-0.004454454667006556,-0.0013040688175617913,0.000668218161055487,-0.004988561457297038,0.0023510519046024,-0.00042395157799598874,0.0019301658167231936,-8.193232346354976e-05,0.00038742291720534613,0.0014129800433746523,-0.00014810484891254863,-0.00028805148990495606,-0.0007403831298830388,0.0014522024128913226,0.00021453730869405488,0.0004248981518199225,-0.0015232824742620705,0.00025027172897314773,-0.001035553556521324,-0.00048701693874292796,9.610818545882973e-05,0.00016553670318042414,-8.748083244291012e-05,0.0006249989961275163,-0.00018499801736439076,0.00015605809239327406,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261B,143653,0.032727247317357856,0.0016883456125232775,-0.003829613782900549,-0.010865229643951632,-0.0003784302380322675,0.00308184318656027,0.0024901055504091543,0.001996461458988885,-0.0001942020043890202,0.001371863521329886,0.0013455900337792984,0.00036333589787979537,0.004065047559944601,-0.00029809184960782225,-0.0005309839872770415,0.002565732495941973,0.004737547216372812,0.0024273330076923743,-0.0015710781710250392,0.000614901293806447,-0.0034057850296686917,0.0005981017702044634,-0.0008772837887537897,-0.0005128918114219425,0.0010984081589834542,-0.0012782547942347283,-0.0009351129273462895,-0.002323837225891386,-0.0012734632628901895,-0.0020246737855743233,-0.0003470786811847781,0.0015992631968624216,0.0004499953916481218,0.0014105253465453637,-0.001925090989873974,-0.002227377583070358,-0.00035906036705664855,7.463882064832703e-05,0.00021234679571284786,0.0012024631659322688,-0.0007778157806858357,-0.0006368769858264989,-0.0003207163601304088,-0.0001365012473464975,3.4429261905874487e-06,0.0003253167031337825,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261C,143654,0.03571071445492633,0.0034524104153176582,-0.0049244811222333654,-0.014325522444997402,-0.001226934796851158,0.003209104975241493,-0.0010143219887052209,-0.012338039272021295,-0.007220230256320627,-0.001109116873720201,-0.002845469389471395,-0.0027334672815938453,0.0007552609574868953,0.008968216004782767,0.004701916222652813,0.0023354483188349397,0.0046521232462915195,0.0006780182538315775,-0.0018249972681105727,-0.0007431876227038931,-0.0003771704848347201,-0.0007669044694603717,0.0018013603888178485,-0.00012529915493601751,0.0021968213632907138,0.0005374120331998962,0.000774939095393685,0.00203456474500347,-0.0009362912973406577,-0.00037563362751998167,0.0011618438054631375,-0.00023972784550810338,-0.001008556541655863,-0.0002947841355853255,0.0003516936617554791,-0.00029673198031852726,0.000580233200702958,-8.53601915530861e-05,0.0001890064401076114,0.0008269574343879553,0.00034423919084104027,-0.00021223709485231187,0.00010217132133293852,-0.0002778865549497637,0.00010402737472651665,3.099043015930506e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262A,143655,0.023987782262880154,-0.0014833497103510357,-0.002139634471292213,-0.005811234748715466,-0.000685312129225161,0.0005727014751308468,0.0010015654935080112,0.002318707046177512,0.0010661883275671217,0.001251987774136257,-0.00035967966823416804,0.0004153518553326563,4.048327191125556e-06,-0.002521972950091847,0.0002839422293475502,-0.002435700382729671,-0.0027348611843256267,-0.0013519069976133467,0.0011691488279211377,0.0015078387565493222,0.0007063801046059101,-0.0020736103611142726,-0.0004897700980646186,0.0015882958101399813,-0.0007219431056498071,0.0012100513829780214,-0.0016516826251837054,0.0026987912881086965,-0.0015696016600783842,0.00012418575953583488,0.00024932078738942393,0.0003233211398569965,-0.0006174028406652045,0.0005338552417694873,0.0005779887206412006,-0.0011069841906028255,0.0006775401314237136,0.00036926452294620073,-6.357944437157276e-05,0.0009512299903406391,0.000233689170747168,0.0002368733352402715,-0.0003335477547546822,-0.00010269514565696643,-0.0004587876069440763,0.0007176193232732912,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262B,143656,0.0265019926676892,0.002512400450786487,-0.0012399564403221066,-0.007025604687099184,-0.0004155964403800526,0.0025116489498003772,-0.003252802174743641,-0.008924515464644314,-0.0019933178786010336,-0.00046780752506506113,0.000656938127949291,0.0004426036027255088,-0.001260819218948393,0.002618214666478101,0.0005536381162074974,-1.4647731313456535e-05,-0.005553516847993499,-0.0008971724820198413,-0.0017149958321439696,0.0018217742551773534,0.0008996614668927669,-0.0021350748861479725,5.307320718931165e-05,0.0020667969172509237,1.9289959091819165e-05,0.0018005496843678354,0.00028835633651378106,0.001635180202785692,-0.00028749579752641283,-0.0006308603535122656,-0.004093672632127919,-0.0008128862955478305,0.0005790642974311955,3.603494367715162e-06,-0.0007977707863823641,0.0008552134047349844,-0.0008464009733341776,0.0004115963881467739,-0.00014299315824066838,-0.0009024987030140917,-0.0004521272709513151,-0.001076044895950056,-0.00022203160155334533,0.0004851144768356693,7.799246284667602e-05,-0.00021141401187208293,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262C,143657,0.037585700705695,0.015278961209918354,-0.011819079491609808,-0.002436476713756778,-0.00493691441661926,-0.0103857250352854,6.898737876753984e-05,-0.004716726294368278,-0.0011067832080954832,-0.0040120117492628464,0.00024500162741750164,0.00021714807408613928,-0.005653061626357381,0.0008589334723342387,-0.004033714526321081,0.005417796725230498,-0.003330405462938385,0.002039985022995702,-7.03962540218975e-05,0.0011245589777527283,-0.0013294549810336472,-0.0054273532502301875,-0.0011628756730589973,-0.0006552830225606136,0.0021679664922322583,0.0008223939229578188,-0.0014304556673922825,-0.0005812569063619044,0.0013879785690443834,-0.00014985775849499423,-0.0019815731748927226,-0.0008215582560911355,2.5499317302889913e-05,-0.0019808316649617976,-0.0004086402793254463,-0.0002492554731955933,-0.0006127132865604588,0.00013561491904877932,0.00012968542208939614,0.00010101205606440994,-0.000990380725384818,0.0004951446889796636,-0.00026923335671582194,-4.68577114147628e-05,5.732713450670249e-05,0.0001452778937649,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1263C,143660,0.04226925652899584,0.018904640478506953,-0.01773401238986476,-0.0036006503194864225,-0.003267505027334502,-0.010458985510320718,0.0038119974289780884,0.005752827889269276,-0.003836507438468847,0.003885384704059786,0.0003196499761397011,-0.001333076474549311,-0.002716885868939381,-0.00025061064133753263,0.0005364753713788669,0.0030655047299725504,0.0021413487130384065,-0.005749981538457211,-0.00011347439217208351,0.0016575329294397422,0.001668643427704878,-0.0005043144387798592,-0.0004942377395627403,0.00029390178284550137,0.0013215737323807166,0.0005812125918819618,0.0020805393003498762,-0.001732248400164668,0.0003201012554350491,0.0003504226062885135,0.00010215103487276875,0.0019249346220901852,0.0016633591223961196,-0.0020350169006789604,0.0001763926189581558,0.0004680605258721906,0.0008331880803509223,-0.000215581660507884,0.0009384412732094005,0.0004554728110322599,5.7007781943241126e-05,0.0004095817942583421,0.0001808116946850702,3.563847939327166e-06,-0.00018707350176382472,1.486665627254418e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1264A,143661,0.026103664344646327,-0.000407843716955184,-0.000931978159226183,-0.0044767030686338185,-0.0010821065596374106,0.0009073654509352252,0.0012528656216619092,0.0016947682305804212,0.001410736350246343,0.0003178376619901049,3.187960821232896e-05,0.0016434411670029014,0.0038480949919310445,-0.0015227841734981565,0.0013689993316854112,0.0019972778116062644,0.001307161771550441,-0.00017172903565063928,0.0009167652449610488,0.0010130781371502841,-9.344193921546205e-05,-0.0019055566305334162,0.0009518296696230942,0.0008342725924318383,-0.0011941658955180125,0.001835855787713405,0.0013438999406997748,-0.00059741233774479,-0.0001559894247238235,0.0026899091015814254,-0.0013122223263456452,-0.0001204512260730912,-0.0014167635113132952,-0.00018797299476428888,-0.0006863112396005907,0.0013043108007231778,0.00159289128991721,0.0016785463893263912,-0.00014443330434062656,0.00022175445772317675,0.00022088924195504914,-0.0013198652271794473,0.00011947529426302849,-0.00010824667961537347,-0.000701564932746558,0.0003279253986906101,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
