sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89
10B,143629,0.02133591438009487,-0.014994083340708208,0.03281584877013928,0.013979981374821211,-0.006985186980832667,0.024128608014124378,-0.016328289054964588,0.02384380406060632,-0.024677054582254828,0.013986614434699174,0.0018211114067319802,0.027320029941763226,-0.016022971530099153,-0.003350456573469165,0.004237582042589521,0.001275761186528136,-0.008662487357122607,0.002365178494837417,-0.001153759764592496,-0.0044004202655028605,0.004549565570294632,-0.0036292611926282874,0.00039022236871758925,0.00115673441682175,-0.0015021118251565247,-0.0026760314587911042,-0.003342309519921527,0.0007795635829598032,-0.0010562653731602594,0.0022883981442850857,6.044292103820605e-05,0.00232958443470245,-0.0010955610717042147,-0.0027875218766368645,-1.1481936554324857e-05,0.0006090820789778186,0.00042747165505765614,-0.00025401268953055187,4.673158106542904e-05,2.2652464616575013e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10C,143630,-0.04786949087018718,0.023086943491672996,0.026178578514848182,0.014013218791661397,-0.0038469710130578714,0.03325406899951654,-0.00544356169509769,-0.014885481341949114,0.013052668209659855,-0.0003846068786459941,-0.009704994485764047,-0.01047605875284758,-0.001950899537686751,-0.0020034884293755007,0.00030564778419158925,0.014806207464078661,-0.007220238847888976,0.012498305814827698,-0.003968070879717051,0.002004082377845978,0.0031338683772611344,0.0020093550623878583,0.003993220925229444,-0.0004535434053838048,0.0018297737852269477,-0.0012608554697873364,-0.0036802301857695365,-0.00020007223030675512,-0.002127242130196414,9.086760469414888e-05,0.00035068528286404647,-0.002281043274253288,-0.00013973981000750302,0.0026393106548851363,-0.0012141992454134391,-0.0006507173187982505,5.694550510316626e-05,0.00040573816062522926,1.958599499669927e-05,9.97613900847206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120A,143631,-0.03208418569328544,0.0017044285914090246,0.0062622147223025445,-0.010081663455029189,-0.004198011241779584,-0.004059476967792942,0.0028413081879054627,-0.006199440148397803,-0.00020257318199069094,0.007255162991010391,0.0048577369627706675,0.002226968236405635,0.0009683334105343342,-0.0006310779291141472,-0.0013388271375433295,-0.0011495925654278587,0.005831992618081753,0.0019900551010489024,0.0018429844576589981,0.000289789803906984,0.002730253426265326,0.000887693089696216,0.0025953115500746294,-0.005889211011359011,0.0024202119473224868,-0.003871529285378763,-0.0006834683979890571,-0.00395980226378037,-0.0018479410185879863,0.0015350009612175222,-0.0015100005565104014,0.000940038715501246,-0.00231783932899782,-0.002799314977582121,-0.001130742206984907,-0.0013865286392352714,-0.0010550640394184562,-0.00032244586328201335,-0.0017328827131955283,0.00018555780789967323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120B,143632,-0.047870438161242077,-0.003693540129626359,0.003372667368377286,-0.011487208563808419,-0.0056646585337175445,-0.006063560799621698,0.0055220942094838235,-0.00018937476884359794,-5.356185091241468e-05,-0.00020453355275823563,-0.011164865055982779,0.006863814126816001,-0.0007312410720563306,-0.0007832007157823927,0.00011615936077213638,-0.009949656415034756,0.0030539178931572432,-0.0005616915935155512,-0.00010474504075211037,0.0030761385667468135,0.00024058094788898473,-0.0008839564289005813,-0.004874909933172385,0.0038921945269971185,-0.001528971294047942,0.0010112517715887928,0.005656720664142436,0.0012275471149911165,-0.002497644941539486,0.004744238850670849,-0.004324230726846463,-0.0002880141151029901,-0.0025058325730093613,0.0003293085990655984,-0.0012987044543578449,-0.0020936694801552687,-0.001312545400658438,-0.00039446647273599136,0.0006829296620628141,0.00011750163058048653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120C,143633,-0.028105139894752433,-0.0012235393144073006,-0.00826225079121107,0.007619703578755537,-0.0017402578136968632,0.00033725328714634135,0.010636390929156471,-0.003770653088300664,-0.003737049505515082,-4.299299193305613e-05,-0.0014550218765076609,-0.003258344814993199,-0.00039711992304463533,0.00033820626035922487,0.003911864125829775,-0.0010658218280472558,-0.0018601348437790838,0.0027203112932916176,0.007052888945197959,0.004751150079872185,-0.009297295518277947,-0.003156761671883254,0.006082855918007703,0.0072185972827607005,0.001992035019884547,-0.002702537784236135,0.0011312411542524854,0.0009062631873425952,-0.006515716745397192,-0.00045672475143266467,-0.0006920333844770805,-0.002005874690771806,-0.00042296215128710695,-0.0012949649223035456,-0.0007960786514483115,0.0023353143227944585,0.000727402098514942,-0.000308769097094461,0.00019148654910796297,-0.00030061304282197733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212A,143634,-0.024297102108090617,-0.015814407762793734,-0.026426172638564727,0.0033064421929905425,-0.00446447920513287,0.006695613810614142,-0.0005227808032369937,0.007160852178986867,0.004461570153779931,-0.011952032027646144,-0.009026572826629244,-0.006819662974294754,0.002181105828129767,-0.01270666856611945,-0.007991826208470883,0.001858128478010078,0.0018571169231050698,0.005005824442760865,-0.0032406216088347348,-6.368630485935795e-05,0.0013733748198751356,0.005290522409325908,-0.006270496507511363,2.9657219597225384e-05,-0.0002623666776550274,-0.004129382136460237,0.002389266811359205,-0.00017111116873319717,-0.006024151611384963,-0.0007778449234970971,0.00018992750607887043,0.0035086117308983375,0.00019442096257058324,0.0020950509087372736,-0.0010562541314238939,0.0007578502035522224,-0.0021700483633023773,0.0013302865765486783,1.4337131640034736e-05,2.7399927847097202e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212B,143635,-0.026031634468528225,-0.0009092668169592658,0.002282209782994764,-0.0074348113275237784,0.009864637397083027,-0.0006967653724669158,-0.0016154737094339559,-0.0033168828035943275,0.0006281998384355811,0.009454770771541995,0.006667074821969174,-0.0009313927762774626,-0.001401934051453628,0.0009413260046011107,-0.0032566690116573645,0.0043033459604634615,0.0033591373817219807,0.0017593705334279465,-0.0038740582280282995,-0.0052765245015919705,0.0012897397249384348,-0.002128108768634701,-0.0035893001184640503,-0.0011543718652781134,0.002428480855526068,0.000240290122004639,0.0011528271724892199,-0.0008768698561032555,-0.0027416370161677858,0.00278113658236866,-0.003077737805238136,0.003548042922119911,0.0023269966790178294,0.001665449841399983,0.004414291636879392,-0.0017721226233030185,0.00038382844079519636,0.0004098078705352862,-0.000804081454666273,-0.0007556892620906459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121C,143639,-0.0008293621849358102,0.005574637553101495,0.0014538434261936102,-0.0003138107506407764,0.006569726038869301,-0.004684918386657222,-0.003965664875729279,0.0026298710545637994,-0.004966845053829389,0.005179830101460826,0.0025622760326422713,0.0017647945943394198,0.0015300057731383596,0.004943992307812059,0.005337132868324032,0.002080274475766184,-0.005692744394678146,-0.004037628301180207,-0.0013683892332819927,0.0056186064107604464,9.818273883082203e-05,0.004035477236181781,-0.0019496497042346397,-0.0063504348893055375,-0.005582520501276009,-0.0019622238622180976,-0.0024654484787110576,0.0031829886931264008,-0.0020133785170441633,0.005068931996949889,0.007292077885691561,-0.00265111407845823,0.00018493759195689622,0.002148053446240025,0.0010587589431641678,-0.0019420524304734974,-0.001977259056174044,-0.0018194802653252824,0.00010875295577291404,0.00016363304444345117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221C,143642,0.025160710157813945,0.021597692053339616,0.002507117586225883,0.024931489608269394,-0.0016220319206157565,0.014580376848662206,-0.024030437064493572,0.0293640731832739,-0.016146746750447426,-0.005420119539330765,0.001035181292202212,0.01388585204989623,0.006850063123510301,-0.012291063156885816,0.007168937113496557,-0.000370133880939064,0.002548207544772158,0.003946464992787005,0.0033219651680820284,0.0004559619308018239,-0.010597479438679794,-0.00013242972389858391,-0.0011164310448092093,0.0026666327446147847,0.000642424386191768,-0.0002924208186357059,-0.0028251781859799075,-0.0047850816510870385,0.0038820234444207837,-0.0012339869965002648,-0.001877966647454194,-0.0014573882733020902,0.0007779800286419076,0.0020319397421941832,0.000303388585641627,-0.00031488743810232554,-0.0006389453313818772,-0.0001105015499915226,0.00021312324168681332,4.5557267830565476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222A,143643,-0.005960410293171609,-0.008299833971865978,-0.030407322335613676,0.017180495910381857,-0.008333736441195274,-0.001448064163206318,0.003381284675385003,0.004391639975437558,0.011044344950554499,0.005021889907137466,0.010790106640538004,0.0017039327837365843,-0.008649237357291449,-0.010599241614046828,-0.006018750480681478,0.0056151823103768135,0.008553821169747022,0.010670400317678616,-0.00330952120085354,0.0013684237638090144,0.0033196546409794956,-0.0052736711750286745,-0.0056133574329932726,-0.0032328134601933936,0.0010241682383962621,-0.0018174632278341852,-0.0035108076257802257,0.005627196838971845,-0.0004957826604149602,0.00070291016510215,0.001262790171924295,-0.001744440585214261,0.00021781938876867484,-0.002644574053453975,0.0012752027020466053,0.0003125475232109722,-8.669735599144899e-05,-0.0009663710692140091,-0.0007463574176145646,-0.00013347069585391568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
