sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89
120A,143631,-0.030854170653174074,0.01941153916963725,-0.0037452093583757473,0.0024245511658448956,0.00686406081453401,0.0014619758837718397,-0.009480992435370157,-0.0025112025860381114,0.0014582949571995687,0.008764361333530035,-0.0036354817088682955,-2.179706363156311e-05,0.0014977740153258644,-0.0009875331508636144,-0.00563399980253779,0.004990925977474726,-0.0008446397643676238,-0.0031303169439690706,0.0040598858992131,0.001229547305151502,-0.0036841073743181453,0.0009062367925504359,0.0016578830657768607,-0.003005098259951698,0.00315014299069196,0.0009738756352666308,-0.0013465468365746354,0.0015771705623778291,0.004026306021834121,0.004604815161256149,0.0018356692787573768,-0.0012304269068186846,-0.002588075793525233,-0.0013711186144430242,-0.001223487758243262,-0.0011269136899702374,0.0006188008791108401,1.3701679090532354e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120B,143632,-0.03836371535133828,0.022003626872539483,-0.002793722700566711,0.0006849104406401126,0.004778125417598842,0.004013017100180068,-0.01405073371240651,-0.0034407187264976625,0.0025689677264069642,-0.0004126003175832932,0.0008018030912311266,0.005480532516645804,0.0036719398866261713,0.006296311381058696,-0.01011584606088256,0.001204909866150951,0.0031234901344951243,0.003365195751112302,0.0002508235772689663,0.00156337103312276,-0.002651006565701454,0.006990595403978758,0.0006134738087365434,0.000614661529981008,0.0013664683397169976,0.000390927301989917,-0.00137784995137839,-0.0037732939112441197,-0.0027560651013007332,0.0015257439530725351,0.0004901595617707404,-0.003095620591554945,-0.0010570104381958866,0.0011480726610849214,0.0013240847469259624,0.0005976477619785547,-0.0004382468027843707,9.120184360095481e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120C,143633,-0.021002060675246247,0.00579366863128745,-0.012247853126646027,-0.008625596179771695,-0.004589902590426365,-0.003233205062089545,-0.008986148819694284,0.0003035196897116949,-0.0007608309654766476,-0.00325823111289751,-0.006984800784911977,-0.0035110403408733976,0.0024112091010013398,-0.0012412511890333854,0.00901432841407399,-0.00264306437786561,0.0074006873032175235,0.00553255643579823,0.001016990403191088,0.0031268147026267774,-0.0020653552333062602,-0.0005926201082817554,-0.0023526827897718764,0.0027092989892292954,0.0044512789501345,-0.00420218786856636,-0.0028838703869199732,-0.0008862649883967624,0.00254367644266407,0.002081772564208256,-0.002551066012374709,0.00013496600571580647,0.0008497930802066777,0.00199615971174939,-0.0005770356576484012,0.0005488696851031557,-0.0004938699267545526,7.540438886205529e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212A,143634,-0.01887995552023406,-0.017404894654639392,-0.002247984987832119,0.0005933958204464308,-0.02046377695107395,0.0051749640702362185,0.006974680477284962,-0.0039426104598767765,-0.0146340708903682,-0.007759436502549952,-0.0021650971833182178,-0.0010279564032061026,0.0009857278325852655,0.0040080419186909145,-0.004202169094977374,-0.0005838270702695057,-0.00462706716885908,-0.002762237950308953,0.00014743086952944884,-0.00028842047765658107,-0.004823196036966187,0.002121100600060686,-0.0009239779482729524,0.003608499203466978,-0.004009259471066686,0.00044946429539788227,0.0003904480652920526,-0.0008136407003140481,-0.0003468235452296666,0.0010612512944229505,0.001876992800433343,-0.002424488603508161,0.0019684486287771183,-0.0006005860993179326,-0.0001960661147487002,0.00013955000876358242,0.00037696629447737576,-8.120053583120697e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212B,143635,-0.03131128480638262,0.016365773215192746,-0.0001422193085596679,0.005744112315894996,0.0024613863532832567,-0.007484913870785399,-0.0011981518362959888,-0.000949150495754218,0.005706182335286657,0.006908530785537929,-0.002571176601848665,-0.0020242734159415248,-0.0005161106311148073,-0.004365284581897429,0.00042460496823214727,0.00427421947215632,-0.004847919996147666,-0.0027475337854658832,0.00181777347307254,-0.005260881632671021,-0.0015429023463829398,-0.0020106021126867902,0.0031012011503040206,-0.0008176658603276339,0.001976816328320282,-0.0019695716874407166,0.0024345231958428732,-0.002733815384046995,0.0010873342557200516,-0.0025639581939923776,0.003505515185892519,-0.0018769929544152847,-0.0003043908139509344,0.0019404015591619485,0.0008594962266561205,-0.0012784014689432945,0.00031822296872516514,0.0001037535344052682,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121C,143639,-0.01523873326514194,0.0061290495767098874,-0.006588813821260982,0.004590697416691181,0.003015677219044194,-0.005664282547362116,0.0038559683294372166,0.001039574005134954,0.01030914635992302,-0.0022697855588501795,0.0026955072174913177,-0.003003533165103682,0.00254960421308114,-0.005267368375575056,-0.00187459162824409,-0.005864814490707808,-0.0021048886969572424,-0.004633208766535009,-0.0015637089276156453,0.0034945502013269446,0.002310564054492815,0.0011604686113506168,0.003178540040501987,0.0013609230623313588,0.00023187452654885811,-0.0008339420800965046,0.0009101693764789456,0.004320684194164838,-0.002886101881220641,0.002698156014394441,0.0012927341359099873,-0.00037567262487637587,0.0018982637865100729,-0.00038233795737197885,-3.091929413899146e-05,0.0002238248210321363,-0.00027858810865625345,0.00017407590522991519,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222A,143643,-0.007910035568583934,-0.029945292678129395,-0.008536202765097546,-0.009023565429239242,-0.007091618385269998,0.004057954174092422,0.013428439039619768,0.003559415119539491,-0.016538033250258242,0.008086846141874252,-0.0014662357816981643,-0.007768558051270601,-0.00776302182916548,0.0012133480806227196,-0.002801960800615802,0.011976273169371419,0.001873380348622588,0.004482877794554221,0.007269263725714657,-0.0038534295671370424,-0.0003219786547809854,0.0009259508755112238,-0.004553661477970342,0.003174165290652648,0.0038993264872630258,0.001572152924022349,0.0019096016675581636,-0.000561136240478903,-0.003180641839708492,-0.0007079729280942809,0.0007023933450101968,-0.0004099236456066913,-0.002144387700050876,0.0003615776801089726,-0.00027679606676563187,-0.0006503251848016183,-0.000326290329845738,5.236859112143202e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222B,143644,-0.006166793168684235,-0.007623575683668971,-0.015256710409147228,-0.0009615388477547537,0.008194148525145764,0.00024482855507919734,0.009179801002827523,0.003768894992514204,0.002083256573611531,0.004501783155921698,0.005998733520505926,0.008256991445941267,0.00306310118554735,0.004456666357828226,0.007047759680598635,-0.005434790690821297,-0.0022033227570585883,0.0030274589335680317,0.0027505529079627305,0.0021586112174402246,0.0011993311249647051,-0.005316211708750722,-0.0005400306375034882,0.002436503774900695,0.0012849221966477066,0.0020430498593838726,-0.0013098141680543147,-0.0035445227728493787,0.0008500908396367539,0.0004800418366808355,-0.0010935684105601337,-0.0021128565618394775,-0.0005093901444300009,-0.0006037523706923921,-0.0013314558717407048,-0.0005547054075286733,-0.0006377722195387746,-0.00031250675754369156,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222C,143645,-0.010394046190887624,-0.002633965656189529,-0.011462819682658028,-0.013549862139649729,-0.0027135620264599238,-0.00527353056694688,0.0005028305092286123,0.0035899095809044544,0.013410210981269637,-0.004732727832662416,0.002849038590840197,-0.0011980825192155632,-0.0022364584384772864,-0.0010851775624637762,0.005159059157444977,0.002102451767763209,0.0041512890032511995,-0.002059054397497991,0.0076704508910598245,0.0031898201220867174,-0.00014693647674012914,0.0010579436295737878,-0.000454639307129088,0.002517399544386266,0.0012890025291851495,-0.0002561543758407551,0.004782085773984352,-0.0007613033050813878,0.0010834054532860527,0.0019455166252830246,-0.00050218576959783,0.00398190423359509,0.0019323429249244772,-0.0004139717912587872,-0.0006828438533571643,0.000797438050757785,0.00017784292644889148,-5.4335620482078546e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226A,143646,-0.03337016601417074,0.02146368794041587,-0.0015026666664114897,0.002752304078933061,0.003127440653049627,-0.005095007298060118,-0.004227620001157067,-0.0050746185917291365,0.004134946159010952,0.004967613536804635,-0.00010152087408989041,0.0030013095726327175,0.002739323763394105,-0.0042016475256325325,-0.0032755942116063207,-0.004917776344097464,-0.0009412796050140941,0.0035353822220570283,-0.0002653168461455184,0.0004885292549909099,0.0028238838249667344,-6.479061612481793e-05,-0.0002061860904766449,-0.003352787200940834,-0.002352991363409146,-0.006522555873574816,-0.0010119080120146715,0.0005991059470508573,0.0011490853066907377,-0.0006768299236360926,-0.003992989058767921,0.0004086440369002942,-6.347532435831611e-05,-0.00046278820662103425,0.0003954834664724048,-0.0016135391740920186,0.00033002476985545423,7.7033998876912e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
