sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89
120A,143631,-0.06024139200464301,0.05012451546723744,-0.008850162557217097,0.010592162525493236,0.011617618343000966,-0.0213833063460435,-0.002219051847195989,0.00805515029329572,0.018638700126061888,0.013685524795104346,0.0052796190565891545,-0.009450298307303878,0.0035428903681186167,-0.0030345807339243343,-0.003554298067894918,-0.00132833308347636,0.0005910565430659255,-0.011929873058373725,0.008623224236409899,0.010773800289368668,0.005186595774811601,0.002446243734807829,0.0008530928116855662,-0.004971419510927681,0.0018944665122846564,-0.003391268306334763,0.0029201444871900335,0.0024464846696121132,-0.0012413441352194749,0.0056427788410961036,0.0003995953977142697,-0.005664024205586675,0.0016949498033024877,-0.002827821340881548,-0.001247092960976263,-0.0008153316979141477,0.0009300625676860179,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120B,143632,-0.08454877476867104,0.05624609245094731,0.011264872955847932,0.010199188151212228,-0.027484762543515267,-0.004522755820677136,0.03283667706058065,-0.008958480452986887,0.024186430861219726,0.01203426006230533,0.01207627079472196,0.002497728655810754,-0.005258392005075179,-0.0038404066545273895,-0.0032390987574669986,-0.014706422351932931,-0.0003386659726356581,-0.017014776721083088,-0.001566861707957503,0.00629331803936551,-0.0012075895878107734,-0.012650231397968496,-0.003396808613782859,0.003305004938236518,-0.0007393471983280077,-0.010270300801751904,7.970925355480909e-05,0.0030061545113813032,-0.0004425363841164444,0.0017489721600462214,0.0029463411847761144,-0.001369385346968009,0.002280839302257112,-0.0008849616587095743,-0.002265538139370389,-0.001460767695245907,3.895451397175779e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120C,143633,-0.06960001227214657,0.06066951372016141,-0.015328640158448262,-0.0017866453262685464,0.00657030575307544,0.009154998861665277,0.010892853199282907,-0.00023931049100596777,-0.0024683043456411756,-0.019747112431791017,0.01146335594179601,0.007873830639830817,-0.0053363064630687395,0.023799528430298332,-0.008527345744425116,-0.037894258458814625,0.0030876930971136785,0.0029424667344137645,0.0001218647930857936,-0.0071762779710563855,0.007206609341132432,0.0017617342653804672,-0.00227978788994633,-0.0026273259265771213,-0.0012556706106181506,0.0048605818667717396,-0.0049036205539697555,0.0031332418167241147,-0.0025316519381659323,9.623585978960109e-05,0.001767763304524576,0.0015839567954034752,0.0029453208526786204,0.0009931345228636143,-0.0006500869786447594,0.0010326953674567728,-0.0006915780915110781,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212A,143634,-0.06651729954798294,-0.04825291580040242,0.0036166473859959017,-0.013227242912598877,-0.025100489017377072,0.02026252150279032,-0.02299845131831922,-0.026609562888298934,0.036999149011162344,0.03203206717120711,-0.003206683650918544,0.0031885921278809516,-0.007233123147432113,-0.02913024468819821,-0.012189193608642237,0.00213745297989535,-0.014392721506833754,0.002910547795127388,0.001602716242034316,-0.012951367349039563,0.008572180260902073,-0.0040224604561838835,0.0009795918694249439,-0.004943978059733336,0.0011155747151505887,0.003925637242759645,0.0013660380376409665,0.0002151202464943614,-0.00387633470724922,-0.004235650157938054,-0.001333687006086206,-0.001494136227416384,-0.0002040594942386888,-0.0012457134126304902,-0.0006863407925107467,-0.00037890728921752265,4.781797855041958e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212B,143635,-0.06534255355669698,0.04567598868971509,0.002916503929992934,-0.0024985351329611786,0.020753401893462052,-0.027020327462727287,0.0013985358000262317,0.0068758618152550645,0.011264311971377162,0.008204004887560486,-0.009926257876511645,-0.0006397057312626965,-0.0014456618551145753,-0.000914349139044425,0.0002795193377297501,0.015676175970102492,-0.00835330177398725,-0.00939527208530881,0.005069707491570141,0.0011407549465007277,-0.002011612862176727,-0.003902410638311088,0.004253960225153952,0.004696518756504349,-0.0009865557544275236,-0.0020227867691814134,0.004392805636816623,-0.0041410503411869175,-0.002015699803007005,-0.001611878391326612,0.0015259813214995824,-0.0005607487588291566,0.0017965838865334953,0.005035618224203548,-0.0023749625712145054,0.00046761858710114325,-0.0010206945858338484,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121C,143639,-0.06263520315903097,0.05061171678755286,-0.0054714916127566295,-0.007400407484044957,0.019862706057207632,-0.01862601251035132,0.012497769772174422,0.0055068464117878435,-0.013943958194364788,-0.005512737480839102,-0.005833065129518494,0.026521858895181986,0.016983820938638768,-0.020241017645026445,0.012836561658511946,-0.0011810248891687236,0.008963540711785699,-0.008927620542868967,-0.008816148013079271,-0.0012733713873948568,-0.011736892923773314,0.016395544918143025,0.00013394686964680245,-0.01914004683244734,-0.010365612506762743,-0.004216791038378407,-0.009124269603033055,0.004849691240542148,-0.00027912022477878,-0.00586171364125024,-0.0004740897904324451,-0.002897887517327262,0.001048285288623767,-0.0009726498507414765,0.0005721309673105498,7.076632357983664e-05,0.000183891947846492,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222A,143643,-0.04797996732985051,-0.02859286780447179,-0.01858508322001398,-0.006864547453487819,-0.015005386463108224,-0.01304295874754268,-0.0732342305819648,-0.009768710916914601,0.03501402334863763,-0.01066464410669248,-0.02106740336464635,-0.010642845297445093,-0.010529311996566898,0.007960651350914205,-0.011409881264522585,-0.007544358643865479,0.009811295058781571,-0.020923498047835068,0.0028130244794629267,0.00967743295834964,-0.004048628651346185,-0.0017975619516954657,0.0027756260998655796,0.012371198062031385,0.0020366551606040197,0.005518912785466187,-0.007529200135668957,-0.003815929532317504,0.002177560017997211,-0.0006924530166267947,0.0038484485334819873,0.00022703200742372535,0.001064034042093883,0.0007928170640923957,-0.0011600873548393523,-6.192502696613901e-05,6.500643601576542e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222B,143644,-0.06371374468011594,0.05119616913439181,-0.012297139344747231,-0.0033010783021739315,0.010936640005994248,0.0033700802811417506,-0.004053550974728322,0.005361589412282892,-0.009907129210716348,-0.006429587826840815,-0.001845301291761225,-0.0001529833924131571,0.011272865551190097,0.010158519467225558,-0.016931968715360412,-0.0020652439311415805,-0.0034368425972675976,0.014391865869067214,-0.0009406201402827824,-0.011466593805251998,0.0027660802450630195,0.004034004794336579,0.005000829911743431,-0.0003424425534777007,-0.0037474012385469158,-0.002427601598471368,0.0037728561630237687,-0.003715191123724932,-0.0014447417142887447,-0.006487411225878829,0.00017757662968939235,-0.0025051270629672206,0.0025461259930813357,0.004749237126522399,0.00246981099576412,-0.002298900408131047,0.0012282222201339184,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222C,143645,-0.05876803579229571,0.05365489933611063,-0.02150449824151443,-0.011075951837131868,0.009459759244608183,0.002286531276307768,0.012331766251800127,0.013730234876254693,-0.010613755569432125,-0.00932576883579031,-0.016280077653672623,0.02368459810347814,0.011834969662145726,0.015256612311123116,-0.019857227615116047,-0.01168426100085784,0.009639920353583999,-0.00042981501136613585,-0.0033823258557302382,0.0037334607019765755,-0.002472611919301519,-0.0018941084394730873,0.015841428146644222,-0.003018087633704057,-0.008300222043693446,0.000932555243483832,-0.006185575108727736,0.0005173090886536238,0.004139251875274113,-0.0009003037920498909,-0.004096190607072195,0.0002769918397256992,-0.0018738627094866398,0.0004536893106789026,0.0014692793670878185,0.0007195297402495932,0.00017797559134231228,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226A,143646,-0.0739767289046557,0.056694884539381527,0.0053127922671724285,0.001071235596857591,0.018864792306819863,-0.01486077356126806,0.013694290628645732,-0.004917380448451861,-0.012573056848632795,-0.009624963904200468,0.011493973861411268,0.008318801999403254,-0.004561518541837336,-0.009074823281551105,0.01028344306642864,-0.01603967926697356,-0.006045430848763913,0.00581514281057822,-0.00757919455909091,-0.0007889430932686397,-0.004761185688608537,-0.0019472987615542258,-0.0041705613130060895,0.00396959016037562,0.004529252364628472,-0.005646640867933157,0.010928251648144318,0.0105677582600898,-0.001420692625764309,0.004817407117245893,0.007622893970687008,0.0007196685425946649,-0.0008156344799530705,0.0030252101068793825,0.0016493388557598913,-0.00022965243697177875,-0.001107444430644806,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
