sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B1	B1o	C31	C17d	C21	C21ac	C31.1	C17e	C31a	C17f	C31j	C31.9	C31.10	C21bk	C15	C31f	C21bm	C31l	C3	C21bl	C21cm	C31w	C31b	C17m	C21ar	C21aj	C31i	C21k	42603_C	C17k	C17i	C17	C1d	70826_C	C31k	C31h	C3te	C17n	C31ae	C21.16	C17g	C21ap	70827_C	70823_C	71013_C	C31.5	C31ad	71566_C	70925_C	42605_C	457831_C	C15hu	C15ce	68728_C	70923_C	2173819_C	C31ag	C31aa	757281_C	67859_C	67855_C	456449_C	456414_C	70930_C	C115l	C21ad	70922_C	C42a	C1az	C15gz	1253499_C	C17l	C1	51911_C	C15fg	C42.2	2173820_C	70992_C	C31af	456372_C	C15bn	67866_C	C31o	C15ed	C15bd	1246510_C	70929_C	1249822_C	1256036_C	1257335_C	71232_C	1336429_C	1336480_C	C15ie	C15n	2173823_C	246763_C	457726_C	70906_C	70907_C	462844_C	1180360_C	1180700_C	1250113_C	70993_C	C15jk	C15hs	C15cf	C21bj	1180689_C	747364_C	456906_C	67869_C	456833_C	1257664_C	1250168_C	457833_C	C42bt	C15ch	2173824_C	70913_C	473863_C	37184_C	1253898_C	456339_C	C3cg	C15qy	C15gr	674310_C	2173825_C	2173826_C	2173821_C	1246526_C	49085_C	456427_C	1250108_C	D1	D4	D6	D1ab	D3h	D4d	D1dg	D1dh	D10b	D2p	104877_D	46472_D	D2.2	D1h	70955_D	D1r	D5m	D17k	D17j	D17d	D17c	D17e	D4ae	15655_D	D17	D17l	D1.6	D4ah	2900_D	1247737_D	D6c	12519_D	2580_D	946_D	10612_D	12514_D	D1cr	191129_D	11027_D	10408_D	456700_D	260616_D	8417_D	12292_D	11766_D	15659_D	D1d	D17al	470665_D	D1fw	936315_D	45817_D	2173822_D	D1cj
143713	386B	386B_S400_L001_R1_001.fastq.gz	ad7896ff13e08475eb44373211fb684efe0aeafc1450f1d9537c397aa41765b6	386B_S400_L001_R2_001.fastq.gz	e9eaeaf77e2d7f077d63b81acfe4ed4d75c06362e60fd3dc378b3fd362080646	679	20220112_matsuda	8285	5684	248	5684	248	0	0	0	0	5500	12	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	11	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2195	1800	1000	206	62	71	59	35	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143721	497A	497A_S339_L001_R1_001.fastq.gz	f96d6b8edfe78f8964c2b697d9d67596acec1b7398cf5be649cd58f1aea88667	497A_S339_L001_R2_001.fastq.gz	27ee37774466200ebb6047b62ec9014b59e607374fbd8bd2a3e98b51a5102cf5	679	20220112_matsuda	4389	2706	111	2706	111	0	0	0	0	2650	12	0	0	0	10	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1063	762	503	160	22	37	21	25	28	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143631	120A	120A_S270_L001_R1_001.fastq.gz	b873a53d96132fadd2e853d8b22990db2c51724ba65162f0e4c21f017e069bc5	120A_S270_L001_R2_001.fastq.gz	c6015882d291422f375ad383d0f30ce0d2ef48d5c5180765988d843bcae4df17	679	20220112_matsuda	8695	5979	248	5979	248	0	0	0	0	5763	12	0	0	0	25	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2306	1806	966	318	70	93	64	50	30	28	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143632	120B	120B_S271_L001_R1_001.fastq.gz	188e8e4407dee0c69fce06beab76b0e21616463723ded2904f56d24923a67ba4	120B_S271_L001_R2_001.fastq.gz	139b1159232dba4fe32df1230b013464b1ae80b2aadfd420ccaac3e50cf34bd8	679	20220112_matsuda	9365	6534	273	6534	273	0	0	0	0	6315	12	0	0	0	54	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2597	1894	1070	340	71	111	71	61	34	0	27	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143646	1226A	1226A_S252_L001_R1_001.fastq.gz	d9ead94bb19f3d27157fabdf4046cb51e7ff695ce46c9829e227bd471370e7f8	1226A_S252_L001_R2_001.fastq.gz	760b532506ce42e5ef3a84ac7382743acfe62f2cc0d53017f816f8063d1a309c	679	20220112_matsuda	9383	6524	281	6524	281	0	0	0	0	6293	11	0	0	0	26	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2506	1945	1077	350	81	107	61	57	55	28	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143682	211A	211A_S342_L001_R1_001.fastq.gz	eea920437df0a8d2a5e48a5a4004f5bb0947239604618a8b505168dfd03d27f4	211A_S342_L001_R2_001.fastq.gz	e298b4dfa90b8e6c43296df29dbae93fab0f66d0d3fbed80bb23c88a6de9b4fb	679	20220112_matsuda	5721	3752	145	3752	145	0	0	0	0	3640	12	0	0	0	14	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1471	1099	624	204	45	62	38	31	32	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143647	1226B	1226B_S253_L001_R1_001.fastq.gz	8ea736feea240a7bfcc8882d942dd6b5a1f2a20f632472cce9987d5dede6ec86	1226B_S253_L001_R2_001.fastq.gz	220ca11e62f21960c7cdc9672cc37c8fcc1ca9c2694a000b57ca692d4ca6ae7b	679	20220112_matsuda	8450	5722	247	5722	247	0	0	0	0	5526	13	0	0	0	26	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2235	1636	966	321	69	94	51	48	44	22	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143762	742A	742A_S357_L001_R1_001.fastq.gz	223b68f551185ff536484a0b95ca6c54cacd2d703d6e86deebbfed3195816203	742A_S357_L001_R2_001.fastq.gz	d176661f78bcffb4b36671afdeaf5b7f222fc7a63056a853f04b2bbf93d6bafd	679	20220112_matsuda	5314	3452	133	3452	133	0	0	0	0	3307	12	0	0	0	13	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1368	999	543	176	38	56	40	31	0	14	0	0	0	0	13	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143664	127A	127A_S264_L001_R1_001.fastq.gz	65cd3ab40aed383bdedce4d0f8fa1cf6b944bdffc6e09f9a5c1601e247c00ec6	127A_S264_L001_R2_001.fastq.gz	92db7cd32ae1e5ad2ce593634417143c16670b38a1b4ccdc2357000c1553f1bf	679	20220112_matsuda	9251	6392	270	6392	270	0	0	0	0	6203	14	0	0	0	29	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2476	1951	1064	303	86	98	53	47	45	31	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143644	1222B	1222B_S322_L001_R1_001.fastq.gz	af53be20f0466b3610792e873ce238fca78af5b4a6a43d80390789f1692382af	1222B_S322_L001_R2_001.fastq.gz	a3c7ba5fabfc029894bdd8f266e77e5641504bc5e02b2e18243e28a4321ad670	679	20220112_matsuda	3861	2329	90	2329	90	0	0	0	0	2260	11	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802	765	431	110	27	38	26	20	17	13	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
