sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
143713	386B	386B_S400_L001_R1_001.fastq.gz	ad7896ff13e08475eb44373211fb684efe0aeafc1450f1d9537c397aa41765b6	386B_S400_L001_R2_001.fastq.gz	e9eaeaf77e2d7f077d63b81acfe4ed4d75c06362e60fd3dc378b3fd362080646	679	20220112_matsuda	8285	5684	248	5684	248	0	0	0	0	5500	12	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143721	497A	497A_S339_L001_R1_001.fastq.gz	f96d6b8edfe78f8964c2b697d9d67596acec1b7398cf5be649cd58f1aea88667	497A_S339_L001_R2_001.fastq.gz	27ee37774466200ebb6047b62ec9014b59e607374fbd8bd2a3e98b51a5102cf5	679	20220112_matsuda	4389	2706	111	2706	111	0	0	0	0	2650	12	0	0	0	10	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143631	120A	120A_S270_L001_R1_001.fastq.gz	b873a53d96132fadd2e853d8b22990db2c51724ba65162f0e4c21f017e069bc5	120A_S270_L001_R2_001.fastq.gz	c6015882d291422f375ad383d0f30ce0d2ef48d5c5180765988d843bcae4df17	679	20220112_matsuda	8695	5979	248	5979	248	0	0	0	0	5763	12	0	0	0	25	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143632	120B	120B_S271_L001_R1_001.fastq.gz	188e8e4407dee0c69fce06beab76b0e21616463723ded2904f56d24923a67ba4	120B_S271_L001_R2_001.fastq.gz	139b1159232dba4fe32df1230b013464b1ae80b2aadfd420ccaac3e50cf34bd8	679	20220112_matsuda	9365	6534	273	6534	273	0	0	0	0	6315	12	0	0	0	54	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143646	1226A	1226A_S252_L001_R1_001.fastq.gz	d9ead94bb19f3d27157fabdf4046cb51e7ff695ce46c9829e227bd471370e7f8	1226A_S252_L001_R2_001.fastq.gz	760b532506ce42e5ef3a84ac7382743acfe62f2cc0d53017f816f8063d1a309c	679	20220112_matsuda	9383	6524	281	6524	281	0	0	0	0	6293	11	0	0	0	26	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143682	211A	211A_S342_L001_R1_001.fastq.gz	eea920437df0a8d2a5e48a5a4004f5bb0947239604618a8b505168dfd03d27f4	211A_S342_L001_R2_001.fastq.gz	e298b4dfa90b8e6c43296df29dbae93fab0f66d0d3fbed80bb23c88a6de9b4fb	679	20220112_matsuda	5721	3752	145	3752	145	0	0	0	0	3640	12	0	0	0	14	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143647	1226B	1226B_S253_L001_R1_001.fastq.gz	8ea736feea240a7bfcc8882d942dd6b5a1f2a20f632472cce9987d5dede6ec86	1226B_S253_L001_R2_001.fastq.gz	220ca11e62f21960c7cdc9672cc37c8fcc1ca9c2694a000b57ca692d4ca6ae7b	679	20220112_matsuda	8450	5722	247	5722	247	0	0	0	0	5526	13	0	0	0	26	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143762	742A	742A_S357_L001_R1_001.fastq.gz	223b68f551185ff536484a0b95ca6c54cacd2d703d6e86deebbfed3195816203	742A_S357_L001_R2_001.fastq.gz	d176661f78bcffb4b36671afdeaf5b7f222fc7a63056a853f04b2bbf93d6bafd	679	20220112_matsuda	5314	3452	133	3452	133	0	0	0	0	3307	12	0	0	0	13	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143664	127A	127A_S264_L001_R1_001.fastq.gz	65cd3ab40aed383bdedce4d0f8fa1cf6b944bdffc6e09f9a5c1601e247c00ec6	127A_S264_L001_R2_001.fastq.gz	92db7cd32ae1e5ad2ce593634417143c16670b38a1b4ccdc2357000c1553f1bf	679	20220112_matsuda	9251	6392	270	6392	270	0	0	0	0	6203	14	0	0	0	29	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143644	1222B	1222B_S322_L001_R1_001.fastq.gz	af53be20f0466b3610792e873ce238fca78af5b4a6a43d80390789f1692382af	1222B_S322_L001_R2_001.fastq.gz	a3c7ba5fabfc029894bdd8f266e77e5641504bc5e02b2e18243e28a4321ad670	679	20220112_matsuda	3861	2329	90	2329	90	0	0	0	0	2260	11	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
