sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
143713	386B	386B_S400_L001_R1_001.fastq.gz	ad7896ff13e08475eb44373211fb684efe0aeafc1450f1d9537c397aa41765b6	386B_S400_L001_R2_001.fastq.gz	e9eaeaf77e2d7f077d63b81acfe4ed4d75c06362e60fd3dc378b3fd362080646	679	20220112_matsuda	1.5063636363636363	1.0334545454545454	0.04509090909090909	1.0334545454545454	0.04509090909090909	0.0	0.0	0.0	0.0	1.0	0.002181818181818182	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143721	497A	497A_S339_L001_R1_001.fastq.gz	f96d6b8edfe78f8964c2b697d9d67596acec1b7398cf5be649cd58f1aea88667	497A_S339_L001_R2_001.fastq.gz	27ee37774466200ebb6047b62ec9014b59e607374fbd8bd2a3e98b51a5102cf5	679	20220112_matsuda	1.6562264150943395	1.0211320754716982	0.04188679245283019	1.0211320754716982	0.04188679245283019	0.0	0.0	0.0	0.0	1.0	0.004528301886792453	0	0	0	0.0037735849056603774	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143631	120A	120A_S270_L001_R1_001.fastq.gz	b873a53d96132fadd2e853d8b22990db2c51724ba65162f0e4c21f017e069bc5	120A_S270_L001_R2_001.fastq.gz	c6015882d291422f375ad383d0f30ce0d2ef48d5c5180765988d843bcae4df17	679	20220112_matsuda	1.5087627971542599	1.0374804789172307	0.04303314246052403	1.0374804789172307	0.04303314246052403	0.0	0.0	0.0	0.0	1.0	0.002082248828735034	0	0	0	0.004338018393197987	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143632	120B	120B_S271_L001_R1_001.fastq.gz	188e8e4407dee0c69fce06beab76b0e21616463723ded2904f56d24923a67ba4	120B_S271_L001_R2_001.fastq.gz	139b1159232dba4fe32df1230b013464b1ae80b2aadfd420ccaac3e50cf34bd8	679	20220112_matsuda	1.4829770387965162	1.0346793349168646	0.04323040380047506	1.0346793349168646	0.04323040380047506	0.0	0.0	0.0	0.0	1.0	0.0019002375296912114	0	0	0	0.00855106888361045	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143646	1226A	1226A_S252_L001_R1_001.fastq.gz	d9ead94bb19f3d27157fabdf4046cb51e7ff695ce46c9829e227bd471370e7f8	1226A_S252_L001_R2_001.fastq.gz	760b532506ce42e5ef3a84ac7382743acfe62f2cc0d53017f816f8063d1a309c	679	20220112_matsuda	1.4910217702208803	1.0367074527252502	0.04465278881296679	1.0367074527252502	0.04465278881296679	0.0	0.0	0.0	0.0	1.0	0.0017479739392976322	0	0	0	0.004131574765612585	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143682	211A	211A_S342_L001_R1_001.fastq.gz	eea920437df0a8d2a5e48a5a4004f5bb0947239604618a8b505168dfd03d27f4	211A_S342_L001_R2_001.fastq.gz	e298b4dfa90b8e6c43296df29dbae93fab0f66d0d3fbed80bb23c88a6de9b4fb	679	20220112_matsuda	1.5717032967032967	1.0307692307692307	0.03983516483516483	1.0307692307692307	0.03983516483516483	0.0	0.0	0.0	0.0	1.0	0.0032967032967032967	0	0	0	0.0038461538461538464	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143647	1226B	1226B_S253_L001_R1_001.fastq.gz	8ea736feea240a7bfcc8882d942dd6b5a1f2a20f632472cce9987d5dede6ec86	1226B_S253_L001_R2_001.fastq.gz	220ca11e62f21960c7cdc9672cc37c8fcc1ca9c2694a000b57ca692d4ca6ae7b	679	20220112_matsuda	1.5291349981903728	1.0354686934491495	0.04469779225479551	1.0354686934491495	0.04469779225479551	0.0	0.0	0.0	0.0	1.0	0.002352515381831343	0	0	0	0.004705030763662686	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143762	742A	742A_S357_L001_R1_001.fastq.gz	223b68f551185ff536484a0b95ca6c54cacd2d703d6e86deebbfed3195816203	742A_S357_L001_R2_001.fastq.gz	d176661f78bcffb4b36671afdeaf5b7f222fc7a63056a853f04b2bbf93d6bafd	679	20220112_matsuda	1.6068944662836409	1.0438463864529786	0.040217719987904445	1.0438463864529786	0.040217719987904445	0.0	0.0	0.0	0.0	1.0	0.003628666465074085	0	0	0	0.003931055337163592	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143664	127A	127A_S264_L001_R1_001.fastq.gz	65cd3ab40aed383bdedce4d0f8fa1cf6b944bdffc6e09f9a5c1601e247c00ec6	127A_S264_L001_R2_001.fastq.gz	92db7cd32ae1e5ad2ce593634417143c16670b38a1b4ccdc2357000c1553f1bf	679	20220112_matsuda	1.491375141060777	1.0304691278413671	0.04352732548766726	1.0304691278413671	0.04352732548766726	0.0	0.0	0.0	0.0	1.0	0.0022569724326938576	0	0	0	0.004675157182008705	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143644	1222B	1222B_S322_L001_R1_001.fastq.gz	af53be20f0466b3610792e873ce238fca78af5b4a6a43d80390789f1692382af	1222B_S322_L001_R2_001.fastq.gz	a3c7ba5fabfc029894bdd8f266e77e5641504bc5e02b2e18243e28a4321ad670	679	20220112_matsuda	1.7084070796460178	1.0305309734513275	0.03982300884955752	1.0305309734513275	0.03982300884955752	0.0	0.0	0.0	0.0	1.0	0.0048672566371681415	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
